No,Brand,Category,Theme_Description,Keywords,Primary_Color,Secondary_Color,Accent_Color,Background_Color,Text_Color,Heading_Font,Body_Font,Typography_Mood,Button_Style,Card_Style,Shadow_Style,Border_Radius_Style,Spacing_Base,Dos,Donts,Key_Characteristics,Design_MD_Path
25,MiniMax,AI & Machine Learning,"MiniMax's website is a clean, product-showcase platform for a Chinese AI technology company that bridges consumer-friendly appeal with technical credibility. The design language is predominantly white-space-driven with a light, airy feel — pure white backgrounds (`#ffffff`) dominate, letting colo...","minimax, ai & machine learning, light, clean, technical, ai, consumer, pill, rounded, colorful, purple, blue, red, pink, black, white",#1456f0,#ea5ec1,#3daeff,#ffffff,#222222,DM Sans,DM Sans,"sans, geometric, technical, tight, bold, modern, compact","Background: `#181e25`; Text: `#ffffff`; Padding: 11px 20px; Radius: 8px; Background: `rgba(0, 0, 0, 0.05)` (subtle tint)","Background: Vibrant gradients (pink/purple/orange/blue); Radius: 20px–24px (generous rounding); Shadow: `rgba(44, 30, 116, 0.16) 0px 0px 15px` (brand purple glow); Background: white with subtle shadow; Radius: 13px–16px","| Subtle (Level 1) | `rgba(0, 0, 0, 0.08) 0px 4px 6px` | Standard cards, containers |",,8px,"Use white as the dominant background — let product cards provide the color; Apply pill radius (9999px) for navigation tabs and toggle buttons; Use generous border radius (20px–24px) for product showcase cards; Employ the purple-tinted shadow for featured/hero product cards; Keep body text at DM Sans weight 400–500 — heavier weights for buttons only; Use Outfit for display headings, DM Sans for everything functional; Maintain the universal 1.50 line-height across body text; Let colorful product i","Don't add colored backgrounds to main content sections — white is structural; Don't use sharp corners (0–4px radius) on product cards — the rounded aesthetic is core; Don't apply the brand pink (`#ea5ec1`) to text or buttons — it's for logo and decorative accents only; Don't mix more than one display font per section (Outfit OR Poppins, not both); Don't use weight 700 for headings — 500–600 is the range, 700 is reserved for strong emphasis in body text; Don't darken shadows beyond 0.16 opacity —","White-dominant layout with colorful product card accents; Multi-font system: DM Sans (UI), Outfit (display), Poppins (mid-tier), Roboto (data); Pill buttons (9999px radius) for primary navigation and CTAs; Generous rounded cards (20px–24px radius) for product showcases; Brand blue spectrum: from `#1456f0` (brand-6) through `#3b82f6` (primary-500) to `#60a5fa` (light); Brand pink (`#ea5ec1`) as secondary accent; Near-black text (`#222222`, `#18181b`) on white backgrounds; Purple-tinted shadows...",design-md/minimax/DESIGN.md
26,Mintlify,Developer Tools,"Mintlify's website is a study in documentation-as-product design — a white, airy, information-rich surface that treats clarity as its highest aesthetic value. The page opens with a luminous white (`#ffffff`) background, near-black (`#0d0d0d`) text, and a signature green brand accent (`#18E299`) t...","mintlify, developer tools, ai, gradient, pill, green, red, black, white",#0d0d0d,#d4fae8,#c37d0d,#ffffff,#0fa76e,Inter,16–18px body text uses normal tracking with 150% line-height,"tight, technical, bold",Background: `#0d0d0d` (near-black); Text: `#ffffff`; Padding: 8px 24px; Radius: 9999px (full pill); Font: Inter 15px weight 500,"Background: `#ffffff`; Border: `1px solid rgba(0,0,0,0.05)`; Radius: 16px; Padding: 24px; Shadow: `rgba(0,0,0,0.03) 0px 2px 4px`","| Subtle Border (Level 1) | `1px solid rgba(0,0,0,0.05)` | Standard card borders, dividers |",,8px,,,"Inter with tight negative tracking at display sizes (-0.8px to -1.28px) — compressed yet readable; Geist Mono for code labels: uppercase, 12px, tracked-out, the terminal voice; Brand green (`#18E299`) used sparingly — CTAs, hover states, focus rings, and accent touches; Atmospheric gradient hero with cloud-like green-white wash; Ultra-round corners: 16px for containers, 24px for featured cards, full-round (9999px) for buttons and pills; Subtle 5% opacity borders (`rgba(0,0,0,0.05)`) creating ...",design-md/mintlify/DESIGN.md
27,Miro,Design & Productivity,"Miro's website is a clean, collaborative-tool-forward platform that communicates ""visual thinking"" through generous whitespace, pastel accent colors, and a confident geometric font. The design uses a predominantly white canvas with near-black text (`#1c1c1e`) and a distinctive pastel color palett...","miro, design & productivity, dark, light, clean, geometric, ai, motion, blue, green, red, orange, yellow, black, white",#1c1c1e,#fde0f0,#fbd4d4,#ffffff,#555a6a,Roobert PRO Medium,Noto Sans,,"Outlined: transparent bg, `1px solid #c7cad5`, 8px radius, 7px 12px padding; White circle: 50% radius, white bg with shadow; Blue primary (implied from interactive color)",,,,24px,Use pastel light/dark pairs for feature sections; Apply Roobert PRO with OpenType character variants; Use Blue 450 (#5b76fe) for interactive elements,Don't use heavy shadows; Don't mix more than 2 pastel accents per section,"White canvas with near-black (`#1c1c1e`) text; Roobert PRO Medium with multiple OpenType character variants; Pastel accent palette: coral, rose, teal, orange, yellow, moss (light + dark pairs); Blue 450 (`#5b76fe`) as primary interactive color; Success green (`#00b473`) for positive states; Generous border-radius: 8px–50px range; Framer-built with smooth motion patterns; Ring shadow border: `rgb(224,226,232) 0px 0px 0px 1px`",design-md/miro/DESIGN.md
28,Mistral AI,AI & Machine Learning,"Mistral AI's interface is a sun-drenched landscape rendered in code — a warm, bold, unapologetically European design that trades the typical blue-screen AI aesthetic for golden amber, burnt orange, and the feeling of late-afternoon light in southern France. Every surface glows with warmth: backgr...","mistral ai, ai & machine learning, light, warm, bold, sharp, ai, gradient, blue, red, orange, yellow",#fa520f,#ff8a00,#ffa110,#fffaeb,#1f1f1f,Likely a custom font,Likely a custom font,"elegant, bold, tight",Background: Cream (`#fff0c2`); Text: Mistral Black (`#1f1f1f`); No visible border; Background: Mistral Black (`#1f1f1f`); Text: Pure White (`#ffffff`),"Background: Warm Ivory (`#fffaeb`), Cream (`#fff0c2`), or Pure White; Border: minimal to none — containers defined by background color; Radius: near-zero — sharp, architectural corners; Shadow: warm golden multi-layer (`rgba(127, 99, 21, 0.12) -8p...","**Shadow Philosophy**: Mistral uses a single but extraordinarily complex shadow — **five cascading layers** of amber-tinted shadow (`rgba(127, 99, 21, ...)`) that build from a close 16px offset to a d",,8px,"Use the warm color spectrum exclusively: ivory, cream, amber, gold, orange; Keep display typography at 82px+ with -2.05px letter-spacing for hero sections; Use the Mistral block gradient (yellow → amber → orange) for brand moments; Apply warm golden shadows (amber-tinted rgba) for elevated elements; Use Mistral Black (#1f1f1f) for text — never pure #000000; Keep font weight at 400 throughout — let size and color carry hierarchy; Use sharp, architectural corners — near-zero border-radius; Apply u","Don't introduce cool colors (blue, green, purple) — the palette is exclusively warm; Don't use bold (700+) weight — 400 is the only weight; Don't round corners — the sharp geometry is intentional; Don't use cool-toned shadows — shadows must carry amber warmth; Don't use pure white as a page background — always warm-tinted (#fffaeb minimum); Don't reduce hero text below 48px on desktop — the billboard scale is core; Don't use more than 2 font weights — size variation replaces weight variation; Do","Golden-amber color universe: every tone from pale cream (#fffaeb) to burnt orange (#fa520f); Massive display typography (82px) with aggressive negative letter-spacing (-2.05px); Warm golden shadow system using amber-tinted rgba values; The Mistral ""M"" block identity — a gradient from yellow to orange; Dramatic landscape photography in warm golden tones; Uppercase typography used strategically for section labels and CTAs; Near-zero border-radius — sharp, architectural geometry; French-European...",design-md/mistral.ai/DESIGN.md
29,MongoDB,Infrastructure & Cloud,"MongoDB's website is a deep-forest-meets-terminal experience — a design system rooted in the darkest teal-black (`#001e2b`) that evokes both the density of a database and the depth of a forest canopy. Against this near-black canvas, a striking neon green (`#00ed64`) pulses as the brand accent — b...","mongodb, infrastructure & cloud, dark, light, editorial, organic, technical, ai, green, black, serif",#001e2b,#006cfa,#00ed64,#1eaedb,#00684a,MongoDB Value Serif,Euclid Circular A,"serif, editorial, light, monospace, technical, bold",Background: `#00684a` (muted MongoDB green); Text: `#000000`; Radius: 50% (circular) or 100px (pill); Border: `1px solid #00684a`; Hover: scale 1.1,"Light mode: white background with `1px solid #b8c4c2` border; Dark mode: `#001e2b` or `#1c2d38` background with `1px solid #3d4f58`; Radius: 16px (standard), 24px (medium), 48px (large/hero); Shadow: `rgba(0,30,43,0.12) 0px 26px 44px` (forest-tint...","| Subtle (Level 1) | `rgba(0,0,0,0.1) 0px 2px 4px` | Light card lift |",,8px,"Use `#001e2b` (forest-black) for dark sections — not pure black; Apply MongoDB Green (`#00ed64`) sparingly for maximum electric impact; Use MongoDB Value Serif ONLY for hero/display headings — Euclid Circular A for everything else; Apply Source Code Pro uppercase with wide tracking (1px–3px) for technical labels; Use teal-tinted shadows (`rgba(0,30,43,0.12)`) for primary card elevation; Maintain the dark/light section duality — dramatic contrast between modes; Use weight 300 for body text — the ","Don't use pure black (`#000000`) for dark backgrounds — always use teal-black (`#001e2b`); Don't use MongoDB Green (`#00ed64`) on backgrounds — it's an accent for text, underlines, and small highlights; Don't use standard gray shadows — always use teal-tinted (`rgba(0,30,43,...)`); Don't apply serif font to body text — MongoDB Value Serif is hero-only; Don't use narrow letter-spacing on Source Code Pro labels — the wide tracking IS the identity; Don't mix dark and light section treatments within","Deep teal-black backgrounds (`#001e2b`) — forest-dark, not space-dark; Neon MongoDB Green (`#00ed64`) as the singular brand accent — electric and organic; MongoDB Value Serif for hero headlines — editorial authority at tech scale; Euclid Circular A for body with weight 300 (light) as a distinctive body weight; Source Code Pro with wide uppercase letter-spacing (1px–3px) for technical labels; Teal-tinted shadows: `rgba(0, 30, 43, 0.12)` — shadows carry the forest color; Dual-mode: dark teal he...",design-md/mongodb/DESIGN.md
30,Notion,Design & Productivity,"Notion's website embodies the philosophy of the tool itself: a blank canvas that gets out of your way. The design system is built on warm neutrals rather than cold grays, creating a distinctly approachable minimalism that feels like quality paper rather than sterile glass. The page canvas is pure...","notion, design & productivity, dark, minimal, minimalism, warm, cold, neutral, blue, yellow, black, white",#ffffff,#213183,#2a9d99,#f6f5f4,#31302e,NotionInter,NotionInter,warm,Background: `#0075de` (Notion Blue); Text: `#ffffff`; Padding: 8px 16px; Radius: 4px (subtle); Border: `1px solid transparent`,"Background: `#ffffff`; Border: `1px solid rgba(0,0,0,0.1)` (whisper border); Radius: 12px (standard cards), 16px (featured/hero cards); Shadow: `rgba(0,0,0,0.04) 0px 4px 18px, rgba(0,0,0,0.027) 0px 2.025px 7.84688px, rgba(0,0,0,0.02) 0px 0.8px 2.9...","| Whisper (Level 1) | `1px solid rgba(0,0,0,0.1)` | Standard borders, card outlines, dividers |",,8px,,,"NotionInter (modified Inter) with negative letter-spacing at display sizes (-2.125px at 64px); Warm neutral palette: grays carry yellow-brown undertones (`#f6f5f4` warm white, `#31302e` warm dark); Near-black text via `rgba(0,0,0,0.95)` -- not pure black, creating micro-warmth; Ultra-thin borders: `1px solid rgba(0,0,0,0.1)` throughout -- whisper-weight division; Multi-layer shadow stacks with sub-0.05 opacity for barely-there depth; Notion Blue (`#0075de`) as the singular accent color for CT...",design-md/notion/DESIGN.md
31,NVIDIA,Enterprise & Consumer,"NVIDIA's website is a high-contrast, technology-forward experience that communicates raw computational power through design restraint. The page is built on a stark black (`#000000`) and white (`#ffffff`) foundation, punctuated by NVIDIA's signature green (`#76b900`) -- a color so specific it func...","nvidia, enterprise & consumer, dark, light, minimal, clean, sharp, industrial, ai, green, red, black, white, custom font",#76b900,#ef9100,#bff230,#000000,#ffffff,NVIDIA-EMEA,Heading line-height is consistently 1.25,"bold, tight, compact, industrial",Background: `transparent`; Text: `#000000`; Padding: 11px 13px; Border: `2px solid #76b900`; Radius: 2px,"Background: `#ffffff` (light) or `#1a1a1a` (dark sections); Border: none (clean edges) or `1px solid #5e5e5e`; Radius: 2px; Shadow: `rgba(0, 0, 0, 0.3) 0px 0px 5px 0px` for elevated cards; Hover: shadow intensification","| Subtle (Level 1) | `rgba(0,0,0,0.3) 0px 0px 5px 0px` | Standard cards, modals |",,8px,,,"NVIDIA Green (`#76b900`) as pure accent -- borders, underlines, and interactive highlights only; Black (`#000000`) dominant background with white (`#ffffff`) text on dark sections; NVIDIA-EMEA custom font with Arial/Helvetica fallback -- industrial, European, clean; Tight line-heights (1.25 for headings) creating dense, authoritative text blocks; Minimal border radius (1-2px) -- sharp, engineered corners throughout; Green-bordered buttons (`2px solid #76b900`) as primary interactive pattern; ...",design-md/nvidia/DESIGN.md
32,Ollama,AI & Machine Learning,"Ollama's interface is radical minimalism taken to its logical conclusion — a pure-white void where content floats without decoration, shadow, or color. The design philosophy mirrors the product itself: strip away everything unnecessary until only the essential tool remains. This is the digital eq...","ollama, ai & machine learning, minimal, minimalism, soft, ai, pill, rounded, black, white",#000000,#262626,#d4d4d4,#ffffff,#737373,SF Pro Rounded,ui-sans-serif,"sans, bold, light, minimal, tight, monospace",Background: Light Gray (`#e5e5e5`); Text: Near Black (`#262626`); Padding: 10px 24px; Border: thin solid Light Gray (`1px solid #e5e5e5`); Radius: pill-shaped (9999px),Background: Pure White or Snow (`#fafafa`); Border: thin solid Light Gray (`1px solid #e5e5e5`) when needed; Radius: comfortably rounded (12px) — the ONLY non-pill radius in the system; Shadow: **none** — zero shadows on any element; Hover: likely...,,,8px,"Use pure white (`#ffffff`) as the page background — never off-white or cream; Use pill-shaped (9999px) radius on all interactive elements — buttons, tabs, inputs, tags; Use 12px radius on all non-interactive containers — code blocks, cards, panels; Keep the palette strictly grayscale — no chromatic colors except the blue focus ring; Use SF Pro Rounded at weight 500 for display headings — the rounded terminals are the brand expression; Maintain zero shadows — depth comes from borders and backgrou","Don't introduce any chromatic color — no brand blue, no accent green, no warm tones; Don't use border-radius between 12px and 9999px — the system is binary; Don't add shadows to any element — the flat aesthetic is intentional; Don't use font weights above 500 — no bold, no black weight; Don't add decorative illustrations beyond the llama mascot; Don't use gradients anywhere — flat blocks and borders only; Don't overcomplicate the layout — two columns maximum, no complex grids; Don't use borders ","Pure white canvas with zero chromatic color — completely grayscale; SF Pro Rounded headlines creating a distinctively Apple-like softness; Binary border-radius system: 12px (containers) or 9999px (everything interactive); Zero shadows — depth comes exclusively from background color shifts and borders; Pill-shaped geometry on all interactive elements (buttons, tabs, inputs, tags); The Ollama llama as the sole illustration — black line art, no color; Extreme content restraint — the homepage is ...",design-md/ollama/DESIGN.md
33,OpenCode,AI & Machine Learning,"OpenCode's website embodies a terminal-native, monospace-first aesthetic that reflects its identity as an open source AI coding agent. The entire visual system is built on a stark dark-on-light contrast using a near-black background (`#201d1d`) with warm off-white text (`#fdfcfc`). This isn't a g...","opencode ai, ai & machine learning, dark, light, minimal, warm, sharp, ai, blue, green, red, orange, black, white, serif, sans-serif, monospace",#201d1d,#302c2c,#007aff,#fdfcfc,#6e6e73,Berkeley Mono,Berkeley Mono,"monospace, tight, compact","Background: `#201d1d` (OpenCode Dark); Text: `#fdfcfc` (OpenCode Light); Padding: 4px 20px; Radius: 4px; Font: 16px Berkeley Mono, weight 500, line-height 2.00 (relaxed)",,"| Border Subtle (Level 1) | `1px solid rgba(15, 0, 0, 0.12)` | Section dividers, input borders, horizontal rules |",,8px,,,"Berkeley Mono as the sole typeface -- monospace everywhere, no sans-serif or serif voices; Warm near-black primary (`#201d1d`) with reddish-brown undertone, not pure black; Off-white text (`#fdfcfc`) with warm tint, not pure white; Minimal 4px border radius throughout -- sharp, utilitarian corners; 8px base spacing system scaling up to 96px; Apple HIG-inspired semantic colors (blue, red, green, orange); Transparent warm borders using `rgba(15, 0, 0, 0.12)`; Email input with generous 20px padd...",design-md/opencode.ai/DESIGN.md
34,Pinterest,Design & Productivity,"Pinterest's website is a warm, inspiration-driven canvas that treats visual discovery like a lifestyle magazine. The design operates on a soft, slightly warm white background with Pinterest Red (`#e60023`) as the singular, bold brand accent. Unlike the cool blues of most tech platforms, Pinterest...","pinterest, design & productivity, light, warm, cool, bold, soft, ai, neutral, blue, red, white, custom font",#e60023,#000000,#103c25,#e5e5e0,#211922,Pin Sans,Pin Sans,"compact, functional, warm, light, sans, monospace","Background: `#e60023` (Pinterest Red); Text: `#000000` (black — unusual choice for contrast on red); Padding: 6px 14px; Radius: 16px (generously rounded, not pill); Border: `2px solid rgba(255, 255, 255, 0)` (transparent)",Photography-first pin cards with generous radius (12px–20px); No traditional box-shadow on most cards; White or warm fog backgrounds; 8px white thick border on some image containers,,,8px,"Use warm neutrals (`#e5e5e0`, `#e0e0d9`, `#91918c`) — the warm olive/sand tone is the identity; Apply Pinterest Red (`#e60023`) only for primary CTAs — it's bold and singular; Use Pin Sans exclusively — one font for everything; Apply generous border-radius: 16px for buttons/inputs, 20px+ for cards; Keep the masonry grid dense — content density is the value; Use warm badge backgrounds (`hsla(60,20%,98%,.5)`) for subtle warm washes; Use `#211922` (plum black) for primary text — it's warmer than pu","Don't use cool gray neutrals — always warm/olive-toned; Don't use pure black (`#000000`) as primary text — use plum black (`#211922`); Don't use pill-shaped buttons — 16px radius is rounded but not pill; Don't add heavy shadows — Pinterest is flat by design, depth from content; Don't use small border-radius (<12px) on cards — the generous rounding is core; Don't introduce additional brand colors — red + warm neutrals is the complete palette; Don't use thin font weights — Pin Sans at 400 minimum","Warm white canvas with olive/sand-toned neutrals — cozy, not clinical; Pinterest Red (`#e60023`) as singular bold accent — never subtle, always confident; Pin Sans custom font with global fallback stack (including CJK); Three-tier token architecture: `--comp-*` / `--sema-*` / `--base-*`; Warm secondary surfaces: sand gray (`#e5e5e0`), warm badge (`hsla(60,20%,98%,.5)`); Generous border-radius: 16px standard, up to 40px for large containers; Photography-first content — pins/images are the prim...",design-md/pinterest/DESIGN.md
35,PostHog,Developer Tools,"PostHog's website feels like a startup's internal wiki that escaped into the wild — warm, irreverent, and deliberately anti-corporate. The background isn't the expected crisp white or dark void of developer tools; it's a warm, sage-tinted cream (`#fdfdf8`) that gives every surface a handmade, pap...","posthog, developer tools, dark, light, warm, bold, playful, corporate, startup, developer, blue, green, orange, black, white, variable font",#4d4f46,#F7A501,#b17816,#fdfdf8,#65675e,IBM Plex Sans Variable,IBM Plex Sans Variable,"bold, confident, heavy, editorial","**Dark Primary**: `#1e1f23` background, white text, 6px radius, `10px 12px` padding. Hover: opacity 0.7 with Amber Gold text. Active: opacity 0.8 with slight scale transform. The main CTA — dark and confident; **Sage Light**: `#e5e7e0` background,...","**Bordered Card**: Warm Parchment (`#fdfdf8`) or white background, 1px `#bfc1b7` border, 4px–6px radius — clean and minimal; **Sage Surface Card**: `#eeefe9` background for secondary content containers; **Shadow Card**: `0px 25px 50px -12px rgba(0...","| Level 3 (Deep Shadow) | `0px 25px 50px -12px rgba(0, 0, 0, 0.25)` | Modals, floating elements, mega-menu dropdowns |",,,"Use the olive/sage color family (#4d4f46, #23251d, #bfc1b7) for text and borders — the warm green undertone is essential to the brand; Flash PostHog Orange (#F54E00) on hover states — it's the hidden brand signature; Use IBM Plex Sans at bold weights (700/800) for headings — the font carries technical credibility; Keep body text at generous line-heights (1.50–1.71) — the content-heavy site demands readability; Maintain the warm parchment background (#fdfdf8) — not pure white, never cold; Use 4px","Use blue, purple, or typical tech-SaaS colors — PostHog's palette is deliberately olive/sage; Add heavy shadows — the system uses one shadow for floating elements only; everything else uses borders; Make the design look ""polished"" or ""premium"" in a conventional sense — PostHog's charm is its irreverent, scrappy energy; Use tight line-heights on body text — the generous 1.50+ spacing is essential for the content-heavy layout; Apply large border-radius (12px+) on cards — PostHog uses 4px–6px, keep",Warm sage/olive color palette instead of conventional blues — earthy and approachable; IBM Plex Sans Variable font at bold weights (700/800) for headings with generous 1.50+ line-heights; Hidden brand orange (`#F54E00`) that only appears on hover interactions — a delightful surprise; Hand-drawn hedgehog illustrations and playful imagery — deliberately anti-corporate; Sage-tinted borders (`#bfc1b7`) and backgrounds (`#eeefe9`) creating a unified warm-green system; Dark near-black CTAs (`#1e1f2...,design-md/posthog/DESIGN.md
36,Raycast,Developer Tools,"Raycast's marketing site feels like the dark interior of a precision instrument — a Swiss watch case carved from obsidian. The background isn't just dark, it's an almost-black blue-tint (`#07080a`) that creates a sense of being inside a macOS native application rather than a website. Every surfac...","raycast, developer tools, dark, light, ai, blue, red, black, white",#07080a,#ffffff,#121212,#101111,#c0c0c0,Inter,Inter,"tight, confident, functional, geometric","**Primary Pill**: Transparent background, white text, pill shape (86px radius), multi-layer inset shadow (`rgba(255, 255, 255, 0.1) 0px 1px 0px 0px inset`). Hover: opacity 0.6; **Secondary Button**: Transparent background, white text, 6px radius, ...","**Standard Card**: `#101111` surface, `1px solid rgba(255, 255, 255, 0.06)` border, 12px–16px border-radius; **Elevated Card**: Ring shadow `rgb(27, 28, 30) 0px 0px 0px 1px` outer + `rgb(7, 8, 10) 0px 0px 0px 1px inset` inner — creates a double-ri...","| Level 1 (Subtle) | `rgba(0, 0, 0, 0.28) 0px 1.189px 2.377px` | Minimal lift, inline elements |",,,"Use `#07080a` (not pure black) as the background — the blue-cold tint is essential to the Raycast feel; Apply positive letter-spacing (+0.2px) on body text — this is deliberately different from most dark UIs; Use multi-layer shadows with inset highlights for interactive elements — the macOS-native depth is signature; Keep Raycast Red (`#FF6363`) as punctuation, not pervasive — reserve it for hero moments and error states; Use `rgba(255, 255, 255, 0.06)` borders for card containment — barely visi","Use pure black (`#000000`) as the background — the blue tint differentiates Raycast from generic dark themes; Apply negative letter-spacing on body text — Raycast deliberately uses positive spacing for readability; Use Raycast Blue as the primary accent for everything — blue is for interactive/info, red is the brand color; Create single-layer flat shadows — the multi-layer inset system is core to the macOS-native aesthetic; Use regular weight (400) for body text when 500 is available — the extra","Near-black blue-tinted background (`#07080a`) — not pure black, subtly blue-shifted; macOS-native shadow system with multi-layer inset highlights simulating physical depth; Raycast Red (`#FF6363`) as a punctuation color — hero stripes, not pervasive; Inter with positive letter-spacing (0.2px) for an airy, readable dark-mode experience; Radix UI component primitives powering the interaction layer; Subtle rgba white borders (0.06–0.1 opacity) for containment on dark surfaces; Keyboard shortcut ...",design-md/raycast/DESIGN.md
37,Renault,Automotive,"Renault's website is a vibrant digital showroom that balances French automotive elegance with bold, forward-leaning energy — a departure from the monochromatic austerity of German or Italian luxury brands. The page opens with a full-screen hero that washes the viewport in a sweeping aurora gradie...","renault, automotive, dark, luxury, editorial, bold, sharp, gradient, card-based, grid, vibrant, yellow, black",#EFDF00,#F8EB4C,#1883FD,#FFFFFF,#000000,NouvelR,Unlike Ferrari,"geometric, precision, bold, tight, modern, editorial","Renault's buttons are sharp-edged rectangles with zero border-radius — the industrial precision of a pressed metal body panel.; Default: bg `#EFDF00` (Renault Yellow), text `#000000`, borderRadius 0px, padding 10px 15px, border 1px solid `#EFDF00`...","Background: white or transparent; Border-radius: 0px — sharp rectangular containers; No shadow, no visible border; Background: `#000000` (Absolute Black); CTA buttons: inverted primary (white bg) or ghost (white border)","| Level 1 (Soft) | `rgba(0,0,0,0.2) 0px 4px 8px` | Card hover states, subtle lift effect |",,,"Use Renault Yellow (`#EFDF00`) exclusively for super-primary CTAs — it carries the full weight of the diamond logo's identity; Maintain zero border-radius on all buttons — sharp edges are non-negotiable in the Renault system; Use NouvelR Bold (700) as the default heading weight — the assertive weight is central to the brand's energetic personality; Apply the dark gradient overlay (`rgba(0,0,0,0.6) → transparent`) on PromoCards to ensure text legibility over photography; Keep hero line-heights ul","Apply Renault Yellow as a background color for sections or surfaces — it's a CTA signal, not an atmosphere color; Add border-radius to buttons — the zero-radius rectangle is a core brand marker; Use any typeface besides NouvelR — the single-family discipline is a brand pillar; Mix multiple chromatic accent colors in a single section — the palette is monochrome-plus-yellow; Soften heading weights to 400 or 500 — NouvelR Bold is the brand voice, lighter weights read as off-brand; Add decorative bo","Full-screen hero carousel with vivid aurora gradient backgrounds (magenta/violet/teal) behind vehicle imagery; NouvelR proprietary typeface with 28-degree ""radical r"" cut matching the diamond logo geometry; Renault Yellow (`#EFDF00`) as the super-primary accent — used sparingly for highest-priority CTAs; Zero border-radius on all buttons — sharp rectangular forms expressing precision engineering; Card-based editorial grid with full-bleed photography and dark gradient overlays; Binary black/wh...",design-md/renault/DESIGN.md
38,Replicate,AI & Machine Learning,"Replicate's interface is a developer playground crackling with creative energy — a bold, high-contrast design that feels more like a music festival poster than a typical API platform. The hero section explodes with a vibrant orange-red-magenta gradient that immediately signals ""this is where AI m...","replicate, ai & machine learning, bold, playful, developer, ai, music, creative, gradient, pill, vibrant, green, red, orange, black, white",#202020,#2b9a66,#24292e,#ffffff,#646464,rb-freigeist-neue,basier-square,"heavy, light, bold",Background: Replicate Dark (`#202020`); Text: Near White (`#fcfcfc`); Padding: 0px 4px (extremely compact); Radius: pill-shaped (implied by system); Background: Pure White (`#ffffff`),"Background: Pure White or subtle gray; Border: `1px solid #202020` for prominent containment; Radius: pill-shaped (9999px) for badges, labels, images; Shadow: minimal standard shadows; Accent border: `1px solid #ea2804` for highlighted/featured items",,,8px,"Use pill-shaped (9999px) radius on EVERYTHING — buttons, images, badges, containers; Use rb-freigeist-neue at weight 700 for display text — go big (72px+) or go home; Use the orange-red brand gradient for hero sections; Use Replicate Dark (#202020) as the primary dark — not pure black; Apply dotted underline decoration on text links (#bbbbbb); Use Status Green (#2b9a66) for operational/success badges; Keep body text in basier-square at 400–600 weight; Use JetBrains Mono for all code content; Cre",Don't use any border-radius other than 9999px — the pill system is absolute; Don't use the brand red (#ea2804) as a surface/background color — it's for gradients and accent borders; Don't reduce display text below 48px on desktop — the heavy display font needs size to breathe; Don't use light/thin font weights on rb-freigeist-neue — 600–700 is the range; Don't use solid underlines on links — dotted is the signature; Don't add drop shadows — depth comes from borders and background color; Don't us,"Explosive orange-red-magenta gradient hero (#ea2804 brand anchor); Massive display typography (128px) in heavy rb-freigeist-neue; Exclusively pill-shaped geometry: 9999px radius on EVERYTHING; High-contrast black (#202020) and white palette with red brand accent; Developer-community energy: model galleries, code examples, dotted-underline links; Green status badges (#2b9a66) for live/operational indicators; Bold/heavy font weights (600-700) creating maximum typographic impact; Playful closing...",design-md/replicate/DESIGN.md
39,Resend,Developer Tools,"Resend's website is a dark, cinematic canvas that treats email infrastructure like a luxury product. The entire page is draped in pure black (`#000000`) with text that glows in near-white (`#f0f0f0`), creating a theater-like experience where content performs on a void stage. This isn't the typica...","resend, developer tools, dark, luxury, cinematic, cold, geometric, ai, pill, blue, green, red, orange, yellow, black, white, serif",#000000,#ffa057,#ff5900,#fcfdff,#f0f0f0,domaine,inter,"editorial, serif, geometric, sans, monospace, technical","Background: transparent; Text: `#f0f0f0`; Padding: 5px 12px; Radius: 9999px (full pill); Border: `1px solid rgba(214, 235, 253, 0.19)` (frost border)","Background: transparent or very subtle dark tint; Border: `1px solid rgba(214, 235, 253, 0.19)` (frost border); Radius: 16px (standard cards), 24px (large sections/panels); Shadow: `rgba(176, 199, 217, 0.145) 0px 0px 0px 1px` (ring shadow); No tra...","| Ring (Level 1) | `rgba(176, 199, 217, 0.145) 0px 0px 0px 1px` | Shadow-as-border for cards, containers |",,8px,"Use pure black (`#000000`) as the page background — the void is the canvas; Apply frost borders (`rgba(214, 235, 253, 0.19)`) for all structural lines — they're the blue-tinted signature; Use Domaine Display ONLY for hero headings (96px), ABC Favorit for section headings, Inter for everything else; Enable OpenType `""ss01""`, `""ss04""`, `""ss11""` on Domaine and ABC Favorit text; Apply pill radius (9999px) to primary CTAs and tags; Use the multi-color accent scale (orange/green/blue/yellow/red) with ",Don't lighten the background above `#000000` — the pure black void is non-negotiable; Don't use neutral gray borders — all borders must have the frost blue tint; Don't apply Domaine Display to body text — it's a display-only serif; Don't mix accent colors in the same component — each feature gets one accent color; Don't use box-shadow for elevation on the dark background — use frost borders instead; Don't skip the OpenType stylistic sets — they define the typographic character; Don't use negativ,"Pure black background with near-white (`#f0f0f0`) text — theatrical, gallery-like darkness; Three-font hierarchy: Domaine Display (serif hero), ABC Favorit (geometric sections), Inter (body/UI); Icy blue-tinted borders: `rgba(214, 235, 253, 0.19)` — every border has a cold, crystalline shimmer; Multi-color accent system: orange, green, blue, yellow, red — each with numbered CSS variable scales; Pill-shaped buttons and tags (9999px radius) with transparent backgrounds; OpenType stylistic sets ...",design-md/resend/DESIGN.md
